[DEBUG] 2018-10-02 23:40:49.600 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@2f666ebb
[DEBUG] 2018-10-02 23:40:49.602 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@75c56eb9
[DEBUG] 2018-10-02 23:40:49.603 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@75c56eb9
[DEBUG] 2018-10-02 23:40:49.603 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@75c56eb9
[DEBUG] 2018-10-02 23:40:49.605 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@5e17553a
[DEBUG] 2018-10-02 23:40:49.607 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@27912e3
[DEBUG] 2018-10-02 23:40:49.609 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@30b6ffe0
[DEBUG] 2018-10-02 23:40:49.609 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@30b6ffe0
[DEBUG] 2018-10-02 23:40:49.609 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@30b6ffe0
[DEBUG] 2018-10-02 23:40:49.611 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@24c22fe
[DEBUG] 2018-10-02 23:40:49.612 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@24c22fe
[DEBUG] 2018-10-02 23:40:49.612 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@24c22fe
[DEBUG] 2018-10-02 23:40:49.613 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@15a04efb
[DEBUG] 2018-10-02 23:40:49.615 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@3336e6b6
[DEBUG] 2018-10-02 23:40:49.622 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@7b993c65
[DEBUG] 2018-10-02 23:40:49.622 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@7b993c65
[DEBUG] 2018-10-02 23:40:49.623 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@4d6025c5
[DEBUG] 2018-10-02 23:40:49.630 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@463fd068
[DEBUG] 2018-10-02 23:40:49.631 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@463fd068
[DEBUG] 2018-10-02 23:40:49.713 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@4bd31064
[DEBUG] 2018-10-02 23:40:49.713 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@4bd31064
[DEBUG] 2018-10-02 23:40:49.715 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@7354b8c5
[DEBUG] 2018-10-02 23:40:49.716 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@11d8ae8b
[DEBUG] 2018-10-02 23:40:49.720 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@2fba3fc4
[DEBUG] 2018-10-02 23:40:49.724 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@6a57ae10
[DEBUG] 2018-10-02 23:40:49.725 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@6a57ae10
[DEBUG] 2018-10-02 23:40:49.726 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@28b46423
[DEBUG] 2018-10-02 23:40:49.726 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@7fc4780b
[DEBUG] 2018-10-02 23:40:49.726 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@3b79fd76
[DEBUG] 2018-10-02 23:40:49.726 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@48c76607
[DEBUG] 2018-10-02 23:40:49.726 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@43599640
[DEBUG] 2018-10-02 23:40:49.726 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@1f81aa00
[DEBUG] 2018-10-02 23:40:49.726 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@6b6776cb
[DEBUG] 2018-10-02 23:40:49.727 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@1863d2fe
[INFO ] 2018-10-02 23:40:49.744 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://localhost:3306/WorldOfDarknessTest
[INFO ] 2018-10-02 23:40:49.745 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {user=root, password=****}
[INFO ] 2018-10-02 23:40:49.746 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2018-10-02 23:40:49.969 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[WARN ] 2018-10-02 23:41:20.601 [main] JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : Connections could not be acquired from the underlying database!
