[DEBUG] 2018-10-02 23:41:41.396 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@1169afe1
[DEBUG] 2018-10-02 23:41:41.396 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1169afe1
[DEBUG] 2018-10-02 23:41:41.396 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1169afe1
[DEBUG] 2018-10-02 23:41:41.399 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@70e38ce1
[DEBUG] 2018-10-02 23:41:41.401 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@1787f2a0
[DEBUG] 2018-10-02 23:41:41.402 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@1787f2a0
[DEBUG] 2018-10-02 23:41:41.402 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@1787f2a0
[DEBUG] 2018-10-02 23:41:41.403 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@51bf5add
[DEBUG] 2018-10-02 23:41:41.405 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@478db956
[DEBUG] 2018-10-02 23:41:41.406 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@478db956
[DEBUG] 2018-10-02 23:41:41.407 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@1b410b60
[DEBUG] 2018-10-02 23:41:41.408 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@1b410b60
[DEBUG] 2018-10-02 23:41:41.410 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@456d6c1e
[DEBUG] 2018-10-02 23:41:41.410 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@456d6c1e
[DEBUG] 2018-10-02 23:41:41.411 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@6f8e8894
